,artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
69,Future Rock,Logged In,Ashlynn,F,12,Williams,239.90812,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Gears,200,1538356359000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
70,Evan Rachel Wood,Logged In,Colin,M,70,Freeman,184.92036,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Black Bird,200,1538356523000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
71,,Logged In,Colin,M,71,Freeman,,paid,"Bakersfield, CA",PUT,Thumbs Down,1538173362000.0,29,,307,1538356524000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
72,Phoenix,Logged In,Ashlynn,F,13,Williams,184.73751,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Long Distance Call,200,1538356598000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
73,Antonio Vivaldi,Logged In,Micah,M,108,Long,302.8371,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,L'automne : Presto _Tempo impetuoso d'estate,200,1538356616000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
74,Dwight Yoakam,Logged In,Warren,M,0,Miller,239.3073,free,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1538169823000.0,240,You're The One,200,1538356650000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
75,,Logged In,Warren,M,1,Miller,,free,"Baltimore-Columbia-Towson, MD",PUT,Logout,1538169823000.0,240,,307,1538356651000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
76,,Logged Out,,,2,,,free,,GET,Home,,240,,200,1538356678000,,
77,,Logged Out,,,3,,,free,,PUT,Login,,240,,307,1538356679000,,
78,,Logged In,Warren,M,4,Miller,,free,"Baltimore-Columbia-Towson, MD",GET,Home,1538169823000.0,240,,200,1538356686000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
79,Ultra Vivid Scene,Logged In,Colin,M,72,Freeman,196.93669,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Nausea,200,1538356707000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
80,Breakage,Logged In,Ashlynn,F,14,Williams,42.03057,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,If,200,1538356782000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
81,,Logged In,Ashlynn,F,15,Williams,,free,"Tallahassee, FL",PUT,Add to Playlist,1537365219000.0,217,,200,1538356816000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
82,Charles Mingus,Logged In,Ashlynn,F,16,Williams,279.84934,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Eat That Chicken (LP Version),200,1538356824000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
83,Parachute,Logged In,Warren,M,5,Miller,221.67465,free,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1538169823000.0,240,Ghost,200,1538356889000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
84,Nevermore,Logged In,Colin,M,73,Freeman,320.57424,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Matricide,200,1538356903000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
85,Sea Wolf,Logged In,Micah,M,109,Long,241.76281,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,The Garden You Planted,200,1538356918000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
86,,Logged In,Warren,M,6,Miller,,free,"Baltimore-Columbia-Towson, MD",GET,Home,1538169823000.0,240,,200,1538356954000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
87,Electric Light Orchestra,Logged In,Ashlynn,F,17,Williams,274.88608,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Roll Over Beethoven (Single Version) (2003 Digital Remaster),200,1538357103000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
88,,Logged In,Ashlynn,F,18,Williams,,free,"Tallahassee, FL",PUT,Thumbs Up,1537365219000.0,217,,307,1538357104000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
89,Jason Mraz,Logged In,Warren,M,7,Miller,218.40934,free,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1538169823000.0,240,Geek In The Pink [Phil Tan Remix],200,1538357110000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
90,Erin McKeown,Logged In,Micah,M,110,Long,242.59873,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,You Were Right About Everything,200,1538357159000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
91,,Logged In,Micah,M,111,Long,,free,"Boston-Cambridge-Newton, MA-NH",PUT,Thumbs Up,1538331630000.0,8,,307,1538357160000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
92,Amy Winehouse,Logged In,Colin,M,74,Freeman,229.85098,paid,"Bakersfield, CA",PUT,NextSong,1538173362000.0,29,Valerie,200,1538357223000,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,30
93,Mastodon,Logged In,Warren,M,8,Miller,215.97995,free,"Baltimore-Columbia-Towson, MD",PUT,NextSong,1538169823000.0,240,The Wolf Is Loose (Album Version),200,1538357328000,Mozilla/5.0 (Windows NT 6.0; rv:31.0) Gecko/20100101 Firefox/31.0,4
94,Beyonce & Shakira,Logged In,Ashlynn,F,19,Williams,201.50812,free,"Tallahassee, FL",PUT,NextSong,1537365219000.0,217,Beautiful Liar,200,1538357377000,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",74
95,Taylor Swift,Logged In,Micah,M,112,Long,192.73098,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1538331630000.0,8,Crazier,200,1538357401000,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.103 Safari/537.36""",9
